Country,Asset,GrossExposure
US,Cash,1.118
US,CIU,0.046
US,Commodities,0.005
US,Conv. Bonds,0.162
US,Corp. Bonds,0.401
US,Digital Assets,0
US,L. EQ.,3.163
US,Loans,0.533
US,Muni/Oth. Pub Debt,0.125
US,Other,0.158
US,Oth. Asset Classes,0
US,Real Estate,0.161
US,Repo,3.636
US,Sov. Bonds,4.022
US,Str./Sec Products,0.382
US,UL. EQ.,0.673
