Country,Derivative,Long,Short,GrossNotionalExposure
US,Interest Rate,4834,4558,9.392
US,Foreign Exchange,2796,1996,4.792
US,Equity,1143,1103,2.246
US,Credit,534,596,1.13
US,Commodity,230,194,0.424
US,Other,180,75,0.255
