Country,Investment Area,Label,Amounts
US,North America,North America,7790
US,Europe,Europe EEA,2370
US,Asia,Asia & Pacific (incl. Middle East),1009
US,South America,South America,122
US,World,Global,46
US,Africa,Africa,35
,,,
